GameID,Player,Result,Ones,Twos,Threes,Fours,Fives,Sixes,Bonus,UpperTotal,3ofKind,4ofKind,FullHouse,SmStraight,LgStraight,Yahtzee,YahtzeeBonus,Chance,LowerTotal,TotalScore
1,JRD,0,0,8,12,12,0,18,0,50,13,0,25,30,0,50,0,18,136,186
2,JRD,0,3,0,6,16,10,12,0,47,19,21,25,30,0,0,0,16,111,158
3,JRD,0,2,4,6,12,10,18,0,52,15,6,25,30,40,0,0,10,126,178
4,JRD,1,4,0,9,8,15,18,0,54,28,25,25,30,0,0,0,18,126,180
5,JRD,1,2,6,9,16,15,18,35,101,22,17,25,30,40,0,0,22,156,257
6,JRD,1,2,8,9,12,15,6,0,52,26,8,25,30,40,0,0,24,153,205
8,ALD,1,1,4,6,8,20,24,35,98,26,22,25,30,40,50,100,15,308,406
9,ALD,0,3,4,3,8,5,12,0,35,23,0,25,30,40,0,0,18,136,171
11,ALD,0,1,8,6,8,0,12,0,35,21,19,25,30,40,50,0,26,211,246
12,ALD,1,2,0,9,0,10,12,0,33,27,0,25,30,0,50,0,19,151,184
13,ALD,0,3,6,12,8,15,12,0,56,12,22,25,30,40,0,0,23,152,208
14,ALD,1,4,8,12,16,15,18,35,108,19,0,25,30,40,0,0,18,132,240
15,ALD,1,0,6,9,16,10,12,0,53,16,19,25,30,40,50,0,14,194,247
16,ALD,1,2,6,6,4,15,24,0,57,27,21,25,30,40,50,0,15,208,265
17,ALD,1,2,4,6,8,15,18,0,53,19,28,25,30,40,0,0,25,167,220
18,ALD,0,0,6,6,0,10,12,0,34,23,0,25,30,40,0,0,14,132,166
19,ALD,0,3,6,6,8,10,0,0,33,12,0,25,30,40,50,0,17,174,207
20,ALD,0,4,4,9,12,0,24,0,53,19,17,25,30,40,0,0,16,147,200
21,JRD,0,2,4,6,12,15,12,0,51,24,0,25,30,0,0,0,18,97,148
22,JRD,1,3,6,9,8,15,24,35,100,25,29,25,30,40,0,0,18,167,267
23,JRD,0,2,6,6,16,15,18,35,98,0,13,25,30,0,0,0,14,82,180
24,JRD,1,3,8,9,16,15,12,35,98,23,13,25,30,40,0,0,13,144,242
25,JRD,1,4,6,12,12,20,12,35,101,27,14,0,30,40,0,0,23,134,235
26,JRD,0,1,4,12,12,10,12,0,51,20,0,25,30,40,0,0,23,138,189
27,JRD,0,4,4,12,12,15,18,35,100,28,19,25,30,40,0,0,17,159,259
28,JRD,1,3,6,9,12,15,18,35,98,21,22,25,30,40,50,0,19,207,305
29,JRD,1,3,6,12,16,20,24,35,116,15,17,25,30,40,0,0,25,152,268
30,JRD,0,3,4,9,0,10,12,0,38,9,0,25,30,40,0,0,24,128,166
31,JRD,1,2,2,6,8,20,18,0,56,23,0,25,30,40,50,0,18,186,242
32,JRD,0,3,8,12,16,15,12,35,101,14,0,25,30,0,0,0,16,85,186
33,ALD,1,1,8,3,8,15,18,0,53,27,21,25,30,40,0,0,15,158,211
34,ALD,0,3,8,3,4,20,24,0,62,23,26,25,30,40,0,0,10,154,216
35,ALD,1,3,6,3,8,5,24,0,49,26,0,25,30,40,50,0,14,185,234
36,ALD,0,3,8,9,4,20,18,0,62,24,0,25,30,40,0,0,16,135,197
39,ALD,0,2,6,9,16,15,24,35,107,20,0,0,30,0,50,0,8,108,215
40,ALD,1,4,6,9,8,10,24,0,61,18,0,25,30,40,50,100,20,283,344
41,ALD,1,3,8,9,12,15,24,35,106,20,21,25,30,40,50,0,21,207,313
42,ALD,1,2,6,9,12,15,24,35,103,22,29,25,30,40,0,0,15,161,264
43,ALD,0,2,4,6,12,10,18,0,52,23,29,25,30,40,0,0,19,166,218
44,ALD,0,1,4,9,16,0,12,0,42,25,29,25,30,0,50,0,17,176,218
45,ALD,0,4,6,6,12,5,18,0,51,25,0,25,30,40,0,0,17,137,188
46,ALD,0,4,4,3,12,10,24,0,57,0,22,0,30,40,0,0,19,111,168
